code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
IRN,Islamic Republic of Iran,272.44,352.76,288.7,476.07,381.84,252.88,257.56,400.14,198.7,258.86,240.49,257.11,199.6,288.73,239.61,277.32,222.93,257.84,321.79,346.51,212.95,262.21,403.68,194.07,349.62,269.24,345.47,307.47,256.24,304.86,310.94,275.44,363.83,232.26,281.8,234.47,359.89,259.47,298.83,243.8,224.97,347.04,363.33,334,299.54,286.32,352.94,317.05,291.42,257.68,234.93,209.35,275.58,281.74,323.18,280.15,290.16,284.1,202.62,294.6,197.68,295.34,285.04,261.09,257.75,296.38,250.93,259.24,293.11,388.21,358.37,170.85,233.08,239.56
IRQ,Iraq,186.15,156.47,169.17,242.22,273.8,129.32,173.6,257.72,108.97,152.68,172.37,227.63,138.54,275.14,151.97,237.57,179.85,245.12,259.44,256.25,135.4,264.77,320.11,133.62,335.49,230.3,238.28,204.14,142.88,189.69,252.39,206.4,268.19,169.06,203.8,204.47,255.12,228.59,280.08,187.22,146.77,247.8,256.16,285.54,277.47,178.36,282.36,251.79,178.64,134.29,173.23,189.16,227.41,211.02,209.23,183.09,274.74,157.07,133.31,156.7,153.66,181.19,190.75,260.85,233.26,258.69,202.51,145.6,365.9,308.55,231.49,93.32,148.92,237.05
ISL,Iceland,1401.21,1328.47,1210.9,1817.39,1348.29,1231.39,1557.58,1331.77,1213.04,1631.46,1201.07,1438.78,1255.54,1271.76,1279.2,994.26,1186.89,1338.91,1280.46,1352.87,1277.44,1431.14,1673.1,1432.16,1590.04,1394.53,1496.77,1212.91,1268.86,1261.18,1245.95,1294.29,1437.27,1492.68,1409.44,1126.15,1400.88,1307.85,1290.4,1551.59,1422.05,1609.53,1652.99,1438.17,1425.53,1285.51,1280.81,1475.46,1393.08,1356.53,1289.5,1357.27,1518.87,1511.6,1528.21,1329.45,1538.97,1567.2,1353.84,1436.03,1126.66,1523.92,1431.07,1445.09,1576.39,1617.16,1381.55,1494.96,1636.52,1370.15,1583.01,1344.78,1551.06,1331.7
ISR,Israel,196.3,259.98,195.97,370.47,251.77,196.17,216.02,283.52,127.32,182.7,178.29,228.46,138.56,231.92,225.08,232.44,229.06,298.31,243.52,260.77,211.13,375.68,254.81,178.65,293.82,214.26,173.6,236.9,174.17,225.46,268.31,178.55,222.72,235.28,210.65,203.27,256.51,223.39,299.56,162.48,182.02,320.87,314.77,172.77,308.15,153.28,216.51,255.91,187.82,114.69,205.94,157.62,264.27,237.13,209.14,179.3,189.02,187.3,160.72,197.79,171.98,224.27,248.42,216.86,186.57,242.4,204.61,125.67,286.68,266.64,279.65,168.9,178.38,225.82
ITA,Italy,801.14,1180.77,854.86,938.92,987.58,963.96,901.83,1028.66,1014.57,1072.19,1240.81,871.61,961.8,1191.33,1049,1067.79,1208.46,946.5,1140.04,1104.62,953.76,1054.46,1366.67,1023.48,1008.65,1045.27,1236.91,1066.9,1128.55,1215.62,1048.05,1001.85,988.92,879.69,1101.19,928.14,967.25,986.34,872.43,824.65,893.91,915.09,946.62,912.09,867.58,930.02,1179.54,885.15,884.81,992.95,1012.81,848.38,1145.83,868.85,1056.28,983.76,831.94,849.16,1139.79,1126.62,1325.09,880.15,1014.24,1200.17,1246.29,955.87,1079.66,855.85,1215.02,1174.14,986.15,992.13,820.65,1029.41
JAM,Jamaica,1198.34,1100.8,1094.15,1178.9,1196.6,1177.42,1015.08,1001.26,1134.51,1033.17,1434.38,1274.89,1080.41,1533.33,1304.52,932.07,1112.72,774.21,964.11,1105.32,1074.17,1124.76,1102.94,1258.26,1207.29,956.53,856.49,1207.39,1261.68,1348.77,1078.05,1222.74,880.45,1024.17,1038.49,966.47,1118.7,1399.47,1237.29,1030.17,1211.16,876.05,920.82,1259.34,1026.08,1084.66,1157.04,869.06,1082.92,1245.6,943.99,1034.91,1215.12,1146.42,1140.04,1556.1,1089.39,1475.83,1187.37,1061.31,1479.88,1287.04,1103.25,980.6,944.04,820.4,1115.96,1381.73,1041.68,1009.22,1179.27,977.55,1067.71,1054.01
JEY,Jersey (U.K.),1068.43,1132.33,1084.06,713.98,864.51,676.66,759.71,859.36,978.55,847.48,1214.99,898.54,780.7,825.5,840.26,1133.07,1073.88,993.32,890.93,996.42,1031,810.5,1026.8,787.67,1273.15,813.52,868.11,1002.48,1050.51,1127.28,1097.42,1211.98,1217.23,857.49,1111.01,922.88,1143.69,924.3,1021.01,779.61,961.85,838.54,1005.27,1142.71,1218.19,1009.1,867.88,901.86,1121.97,1188.55,1303.86,1124.55,1169.17,868.21,1000.75,872.7,963.48,1008.42,1111.46,1072.58,974.7,870.7,1225.62,1051.2,1199.04,1002.72,1020.75,1012.96,907.91,1221.39,1274.93,1034.87,1084.08,1285.39
JOR,Jordan,73.03,78.87,65.9,125.22,74.51,41.4,69.14,76.93,23.18,64.61,61.39,79.25,28.18,87.74,64.63,100.01,111.61,132.22,84.79,83.44,50.05,129.46,101.82,54.61,129.17,87.28,62.08,71.92,41.64,76.54,116.21,51.34,116.01,67.5,72.89,85.4,101.26,85.48,156.96,63.53,85.4,118.11,96.92,77.74,120.53,59.82,90.96,105.28,70.86,38.75,68.51,68.44,105.16,100.41,67.06,63.22,70.9,64.39,56.63,46.44,82.15,64.63,72.39,90.58,83.99,109.6,88.26,52.36,122.25,101.23,107.03,51.1,71.7,96.97
JPN,Japan,1515.92,1513.19,1639.29,1849.58,1707.13,1735.52,1804.86,1818.13,1760.2,1874.48,1626.4,1771.52,1700.28,1760.3,1796.32,1780.87,1981.9,1682.59,1776.01,1780.98,1757.67,1914.8,2342.53,1670.66,1884.44,2008.52,2031.87,1805.17,1568.55,2021.97,2031.05,1726.87,1793.17,1783.55,1368.32,1784.22,1541.7,1637.96,1710.16,1805.51,1812.91,1898.31,1650.41,2029.97,1374.77,1656.45,1588.42,1714.6,2010.26,1753.57,1752.37,1664.44,1643.07,1810.37,1938.54,1483.7,1798.74,1533.89,1546.22,1751.93,1928.16,1869.13,1796.8,1768.69,1791.27,1862.19,1925.42,1753.14,1890.6,1737.01,1918.25,1962.69,1706.75,1719.13
KAZ,Kazakhstan,250.46,243.44,269.58,335.99,303.39,255.08,306.37,327.22,385.01,318.39,363.39,347.28,309.53,374.9,374.28,326.93,320.33,319.8,328.39,389.11,338.74,334.01,375.03,368.94,259.36,274.75,318.47,315.28,376.14,362.38,340.13,376.01,328.19,349.69,300.19,337.16,312.68,403.49,363.78,361.13,399.35,281.42,357.97,412.28,362.36,294.88,305.33,319.66,325.68,360.57,357.63,355.65,385.21,370.57,363.22,296.63,329.13,303.09,277.79,341.18,292.51,306.99,274.64,354.39,300.41,368.69,416.52,299.25,320.86,314,282.96,277.48,312.25,365.62
