code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
LBR,Liberia,2094.83,2233.33,2621.68,2137.02,2069.59,2094.47,2164.47,2706.6,1904.48,2175.78,2152.32,1937.42,2118.27,2501.02,1936.04,2207.46,2179.05,2294.02,3098.69,2453.31,2351.45,2427.42,2572.15,2316.05,2199.25,2261.49,2339.39,2231.36,2463.44,2674.24,2755.1,2424.19,2222.64,2080.34,2632.02,2417.43,2150.75,2456.16,2515.7,2357.53,2242.04,2229.16,2145.98,2341.3,2152.82,2456.36,2442.9,2167.9,2351.39,2194.1,2087.81,2213.44,2427.07,2453.16,2414.69,2460.24,2320.26,2408.06,2447.24,2002.5,2522.5,2127.16,2214.09,2136.34,2334.08,2108.33,2221.53,2593.14,2605.11,2766.06,2198.57,2553.97,2385.04,2281.94
LBY,Libya,20.09,21.88,15.8,30.37,20.26,12.87,24.54,42.12,14.99,13.04,19.95,21.83,29.4,29.8,21.97,22.72,37.62,26.87,22.03,44.63,14.56,22.51,49.39,16.83,28.96,21.49,54.1,14.25,29.3,20.47,23.07,15.77,31.02,19.27,25.05,37.91,30,20.7,33.34,16.92,26.95,40.26,21.88,27.49,28.36,25.51,25.08,20.84,19.63,22.35,23.16,12.14,20.77,21.21,19.72,29.63,28.5,21.93,28.52,14.85,13.43,30.6,20.24,18.34,18,26.59,12.85,29.02,23.96,26.95,21.64,10.76,15.14,16.39
LCA,Saint Lucia,1227.29,1266.08,944.56,868.78,967.35,1052.76,1007.19,973.65,1165.05,896.37,996.34,1268.59,1204.53,1149.05,1135.47,800.71,989.71,831.32,763.51,808.55,910.54,683.28,826.93,900.2,922.1,964,883.82,1062.81,887.95,996.64,914.12,1054.05,927.78,950.72,984.62,986.12,827.23,1021.02,1185.42,811.39,826.41,816.72,947.81,887.03,775.27,909.18,965.13,788.08,1017.01,886.96,929.76,806.51,841.22,909.09,1170.31,1416.26,1000.98,976.24,1008.77,821.87,1405.7,1340.39,1088.23,967.5,798.33,664.47,1080.04,1010.08,944.68,791.6,948.47,766.74,994.02,1013.01
LIE,Liechtenstein,1592.96,1679.5,1926.16,1493.1,1968.76,1763.56,1834.93,1607.78,1957.12,1556.51,1857.46,1684.2,1762,1751.34,1756.83,2141.11,2155.01,1972.89,2000.61,1735.36,2166.44,1502.94,1645.28,1975.95,2267.72,1667.35,1720.56,1904.63,1977.55,2099.21,2126.35,2405.17,1870.28,1955.66,1857.46,1859.71,1973.35,2062.09,2131.24,1561.52,1783.95,1735.09,1787.23,1900.73,1847.99,2079.29,1850.48,1736.24,1858.44,2420.85,2160.91,2258.08,2077.87,1438.99,1737.68,1788.05,1748.79,1997.79,1999.1,1846.24,2000.15,1798.71,2074.6,1839.93,1890.14,1754.61,1966.67,2002.52,1597.95,1988.56,1831.61,1972.63,1632.69,2216.88
LKA,Sri Lanka,850.36,1453.34,904.15,1145.32,1923.98,1945.85,1506.75,1697.96,1612.02,1457.84,1717.97,1520.74,1818.53,1985.19,1728.64,2181.84,1801.84,1925.87,1564.81,1832.25,1645.81,1656.44,1506.87,1528.63,1161.59,1642.59,1395.57,1719.15,1779.71,1634.37,1304.01,1397.16,1453.21,1244.05,2063.87,1652.66,1457.6,1597.49,1593.47,1494.58,1567.25,1430.73,1346.16,1745.06,1831.31,1545.29,1603.29,1793.28,1520.23,1682.08,1748.9,1544.18,1688.96,1602.64,1740.04,1613.12,1883.06,1653.08,2055.29,1693.65,2175.95,2282.66,1706.92,1677.88,2230.34,2189.86,1352.81,1686.48,1927.66,1681.18,1546.7,1971.19,1813.82,2317.55
LSO,Lesotho,1260.42,965.99,1015.98,1025.28,575.13,921.95,1240.37,1232.47,1206.47,1210.58,1309.11,1200.2,1080.58,1300.19,1120.02,789.09,990.14,1157.87,984.19,969.49,1085.52,1187.81,1088.71,1090.11,1283.23,1200.91,1302.09,1184.17,1114.89,1100.96,869.67,1015.16,950.44,1036.04,932.92,1148.6,1246.55,1452.31,1491.45,1326.14,1007.81,1291.76,753.88,1181.61,959.53,1100.94,1325.65,1199.99,1116.09,1000.69,1276.25,1227.92,1147.41,941.32,1124.56,1065.7,1311.04,920.63,955.12,997.97,1092.66,1077.17,1025.32,883.71,1024.35,761.44,1028.77,938.57,896.25,798.42,1190.31,1232.74,1330.86,1143.42
LTU,Lithuania,822.11,562.53,757.79,570.55,793.72,625.19,744.31,766.06,754.91,596.57,837.63,696.32,853.74,715.89,639.69,699.87,763.2,786.93,704.61,694.78,794.57,678.93,893.34,747.08,880.02,638.79,636.86,796.87,850.37,731.52,897.94,888,644.14,812.12,742.77,854.6,823.65,800.86,783.16,821.08,894.25,676.69,683.2,799.81,797.6,776.34,627.14,754.1,914.53,723.44,722.8,822.55,699.32,653.13,802.2,720.08,638.65,825.48,761.52,750.25,874.73,680.7,852.57,684.17,703.36,664.1,845.54,904.46,584.71,650.8,709.42,822.56,780.58,800.1
LUX,Luxembourg,919.42,909.15,955.36,599.55,823.84,678.7,838.29,900.31,1039.37,601.54,878.5,833.85,755.75,716.61,729.05,1133.12,1030.12,918.11,967.02,883.41,1034.95,687.51,851.13,789.89,987.7,807.7,643.85,953.06,901.91,1021.79,1000.73,1151.15,874.79,927.46,1064.29,807.68,978.24,1011.64,1019.79,877.46,883.98,681.28,848.33,926,978.15,1017.2,720.87,877.33,957.51,980.06,1053.53,1027.35,969.51,738.6,803.06,732.62,898.72,994.14,992.06,890.48,897.51,753.28,1006.31,964.15,936.26,783.25,966.85,887.32,780.32,962.92,899.19,1098.53,932.56,1064.75
LVA,Latvia,767.97,559.46,785.42,581.24,734.75,654.94,759.48,792.25,667.61,607.82,775.78,713.31,916.87,688.06,615.91,705.82,769.39,772.06,708.71,626.06,762.23,733.81,816.29,754.53,832.53,643.52,658.98,779.81,923.43,714.83,841.35,942.24,657.66,834.92,759.81,858.55,820.37,779.69,831.47,790.21,938.79,764.37,682.43,786.96,776.02,735.92,615.1,793.13,900.46,703.77,704.43,816.85,677.94,702.12,767.05,678.65,611.21,800.83,820.56,817.1,862.56,701.2,918.35,675.31,772.7,682.21,821.66,893.54,558.66,757.49,739.15,785.84,744.98,837.37
MAC,MAC,1993.3,1585.29,1479.61,1389.19,1263.45,1124.05,1156.07,1832.2,1592.82,1807.34,1622.98,2224.75,1340.93,1271.55,1953.1,1943.63,1530.23,1696.62,1916.41,1541.57,2303.77,1972.28,2459.49,2804.95,1994.29,2634.98,1908.49,1517.31,2446.3,1995.32,1449.04,1790.28,1886.13,2314.09,1851.03,2008.35,1975.6,1723.64,1721.4,1611.24,1821.42,1373.01,1850.98,2014.01,1923.29,1725.6,1636.33,2329.8,1885.26,1854.57,1770.96,2034.99,1630.77,1601.38,1296.62,1765.44,1744.21,1369.81,1967.73,1672.17,1879.43,1260.13,1803.66,2080.53,1625.96,1601.27,2378.51,1768.14,1864.21,1761.85,1699.18,2013.85,1866.3,1973.09
MAF,Saint-Martin (Fr.),858.14,959.18,710.38,647.13,893.5,797.14,648.37,687.18,836.99,644.51,870.72,945.09,779.42,773.09,672.05,760.18,712.97,613.93,578.62,876.13,877.9,670.27,753.03,874.04,972.4,784.52,734.81,824.66,795.59,1027.15,630.51,1060.41,901.25,885.12,977.6,804.83,834.09,1252.79,713.75,839.05,802.8,681.84,830.26,704.93,506.43,1023.68,957.56,755.17,1039.93,1361.03,664.15,678.46,663.27,983.68,1081.49,1177.78,920.97,969.54,960.44,820.25,1394.78,1226.15,900.6,961.44,928.18,594.79,925.17,1170.74,723.91,701.91,853.3,684.51,904.92,978.82
MAR,Morocco,246.6,311.9,225.91,327.51,322.32,371.28,372.12,349.63,232.94,272.36,371.79,227.4,371.39,458.57,264.54,407.46,249.62,405.06,380.43,456.88,350.96,439.22,447.58,328.02,276.96,305.42,407.9,311.62,270.02,342.6,302.14,206.16,306.91,222.65,245.17,322.16,287.47,319.56,318.06,394.3,269.02,319.83,224.07,284.97,245.24,272.46,494.16,331.21,228.15,252.65,222.66,176.01,297.84,329.75,251.48,199.34,319.77,228.99,341.13,350,426.65,323.61,267.84,258.59,353.52,258.6,280.21,179.21,401.41,212.02,212.84,230.42,206.81,172.44
MCO,Monaco,690.3,1041.12,537.8,601.82,787.49,681.61,784.71,1022.15,898.51,1175.66,1182.69,768.29,857.19,960.23,712.19,733.72,1042.04,554.95,1030.26,936.52,738.83,1013.8,1197.88,768.77,849.87,1097.91,1091.74,1114.37,876.38,1122.6,742.58,807.75,701.35,699.91,890.02,708.24,690.13,1052.83,670.78,647.73,623.09,775.86,757.79,849.21,850.79,754.66,1084.73,613.56,605.46,787.15,1043.32,586.17,991.69,589.88,674.12,643,654.35,438.4,1007.61,978.53,1062.44,803.61,905.9,1156.91,1236.33,688.32,840.82,562.98,1249.22,1039.76,780.73,584.16,538.8,648.47
MDA,Moldova,364.59,382.59,511.36,452.41,464.41,666.98,500.18,434.14,555.24,521.35,577.04,509.99,593.02,539.38,568.44,575.3,824.49,534.37,663.84,669.37,761.74,830.32,839.06,523.55,652.41,517.59,619.46,588.16,757.87,692.53,854.34,794.83,587.39,470.62,721.56,657.69,446.57,577.97,737.26,615.18,477.69,718.61,522.76,602,453.88,644.04,733.72,701.39,637.26,606.89,546.2,633.19,579.27,493.79,583.48,657.98,544.34,514.56,648.91,446.12,744.21,428.26,534.4,634.3,602.51,476.68,651.6,573.48,507.56,450.4,484.69,628.61,430.02,468.55
MDG,Madagascar,1593.3,1288.06,1733.89,1720.85,1442.16,1380.32,1289.6,1329.32,1639.34,1486.9,1275.37,1381,1362.36,1322.37,1229.87,1440.47,1167.79,1546.38,1395.48,1505.04,1378.61,1564.04,1737.07,1657.12,1403.29,1500.99,1443.06,1550.08,1302.85,1341.98,1369.04,1379.28,1688.39,1419.63,1697.82,1435.12,1454.49,1185.98,1305.92,1552.02,1175.91,1323.63,1229.07,1317.76,1589.56,1423.97,1419.6,1505.93,1459.85,1138.91,1470.13,1294.66,1483.8,1561.3,1634.99,1248.55,1207.16,1697.43,1456.76,1404.4,1389.55,1393.21,1519.7,1293.69,1416.63,1789.36,1285.34,1432.17,1440.1,1488.04,1321.44,1139.71,1414.02,1457.83
MDV,Maldives,1918.07,2266.18,2385.91,1936.73,2366.76,2171.44,2048.84,1970.15,1924.17,1625.92,1858.43,1919.69,2179.24,2279.54,2260.04,2345.69,2377.46,2041.85,1807.02,1994.91,1906.92,1635.6,2057.34,2063.24,2167.33,2235.06,1849.72,2114.4,2323.38,2079.27,1692.83,1577.67,2031.81,1679.81,1892.57,2071.1,1867.87,1762.19,1760.15,1887.92,1584.31,1833.43,1657.18,1819.96,1919.59,1699.24,1535.09,1787.36,1697.62,1575.92,1637.68,1663.53,2044.55,1784.35,1862.54,1574.99,2055.83,1608.91,1758.33,1636.47,1694.59,1476.46,1494.47,1662.58,1783.8,1999.64,1913.2,1671.14,1851.56,2045.61,1641.54,1571.14,1743.42,1951.69
MEX,Mexico,667.77,716.56,725.18,651.13,731.76,778.94,611.69,609.33,870.06,871.32,706.99,666.8,581.73,674.33,652.59,676.27,733.82,759.02,730.44,718.2,699.48,731.97,779.64,911.13,796.18,763.82,843,723.11,908.63,749.14,797.37,1028,777,901.39,1046.39,890.76,904.42,819.46,889.75,824.76,925.32,927.97,946.16,871.37,724.45,839.24,814.02,854.02,799.02,787.7,747.79,749.58,760.4,783.92,786.79,774.31,850.06,840.28,912.5,734.37,954.43,721.4,760.99,978.58,878.45,892.32,835.59,832.12,854.85,752.25,765.26,835.63,791.25,630.98
MHL,Marshall Islands,2255.28,1881.57,2600.28,2233.72,2931.95,3068.25,2528.02,2480.72,2421.24,1895.36,1831.49,2043.45,2098.03,2550.24,2284.32,2172.36,2260.78,2354.6,2192.01,2188.06,1991.84,1964.75,2941.5,1940.08,2699.01,2240.79,2899.23,2392.78,2274.34,2731.76,3181.72,2822.44,2732.76,1926.58,2029.29,2540.43,3080.98,2344.79,2356.83,2785.07,2952.9,3032.6,2136.11,2887.96,2687.65,2620.46,2711.87,3432.46,1895.25,2444.19,2715.4,2483.48,3160.81,3069.36,3069.31,2601.69,2681.69,2397.69,2336.86,2537.28,2338.46,2990.58,2152.02,2307.97,2853.84,3085.67,2369.88,2463.22,3328.68,2407.51,2779.93,2616.13,2990.51,2877.6
MKD,North Macedonia,587.99,721.29,641.13,667.27,821.52,902.59,778.54,759.85,668.27,827.5,806.74,542.3,830.35,942.72,824.17,594.77,850.05,704.91,799.02,768.45,772.26,802.53,1014.69,828.03,823.08,697.04,911.53,607.5,763.37,858.38,795.25,853.57,692.73,797.85,625.58,733.04,736.97,761.56,612.19,668.73,547.05,671.25,608.76,528.44,577.06,864.23,806.06,630.18,752.22,750.68,477.82,677.27,825.26,720.96,795.82,831.17,770,727.71,581,952.91,929.89,527.04,725.96,732.94,959.51,776.39,772.78,738.43,870.66,680.22,748.23,892.45,741.65,862.17
MLI,Mali,324.07,405.08,320.89,296.6,349.6,291.01,368.7,424.22,340.86,285.63,273.84,264.97,314.97,290.02,315.05,353.82,286.82,380.37,337.01,366.52,311.31,311.52,283.61,253.9,295.52,294.89,298.86,264.28,345.09,317.65,307.65,290.44,237.87,210.39,252.49,275.78,270.07,235.09,318.58,298.29,230.98,274.13,260.04,232.84,340.5,270.8,229.86,231.12,253.77,305.88,244.41,206.78,211.25,288.26,199.86,242.4,220.32,232.91,252.91,229.81,293.51,204.25,260.76,215.65,211.89,251.78,241.9,216.75,273.55,280.5,271.9,185.91,245.42,193.71
MLT,Malta,539.88,568.58,274.68,468.82,493.59,407.29,487.37,570.93,525.46,425.19,305.26,340.7,615.91,402.07,527.15,481.76,336.99,408.7,407.3,653.64,349.57,516.27,655.2,590.15,312.12,461.59,596.36,253.24,385.08,402.41,357.21,233.33,797.44,445.01,432.83,511.23,608.92,223.22,519.07,401.12,317.55,443.12,329.8,400.23,526.41,490.19,491.31,505.84,289.99,419.8,355.94,296.6,283.4,559.35,379.03,461.44,512.6,513.73,407.08,460.77,347.61,605.94,379.66,433.02,413.35,407.7,389.01,440.52,510.09,562.02,313.38,482.62,291.2,341.18
MMR,Myanmar,2507.82,2460.72,2458.58,2288.75,2117.85,2274.66,2364.4,2282.59,2530.06,2587.93,2298.43,2612.28,2398.33,2594.39,2475.5,2785.63,2550.13,2587.19,2527.71,2338.43,2580.1,2568.3,2284.2,2572.29,2611.39,2547.69,2703.37,2340.69,2337.31,2086,2237.7,2375.65,2371.14,2528.24,2506.09,2526.35,2283.4,2411.92,2525.98,2284,2546.51,2650.46,2222.39,2358.09,2523.18,2430.06,2501.88,2313.57,2160.28,2511.88,2454.07,2338.24,2363.75,2257.34,2349.45,2204.21,2315.06,2551.98,2557.38,2285.42,2266.36,2527.26,2357.57,2341.23,2041.32,2324.38,2282.32,2381.84,2452.09,2056.27,2087.67,2070.88,2111.4,2061.83
MNE,Montenegro,1439.05,1328.62,1915.65,1060.78,1531.65,1987.42,1380.72,1521.57,1681.76,1687.83,1940.37,1414.56,1810.84,1902.41,1714.25,1590.86,1994.58,1476.01,1702.95,2011.78,1990.24,1600.51,1732.67,1543.36,1687.98,1380.02,1792.6,1629.61,1964.91,2147.01,1776.86,1733.54,1223.74,1355.99,1560.24,1680.36,1562.89,1643.15,1495.84,1390.57,1313.79,1514.86,1359.11,1317.07,1248.02,1788.68,1983.33,1293.29,1521.45,1702.25,1369.28,1656.16,1617.65,1454.55,1998.16,1860.26,1444.74,1520.39,1537.65,1904.92,2274.21,1022.37,1523.62,1860.81,1853.87,1254.06,1871.19,1482.06,1763.33,1657.22,1535.04,1753.29,1628.09,1853.55
MNG,Mongolia,339.22,296.15,312.31,304.85,319.4,339.73,275.8,243.83,323.23,313.48,280.43,285.88,264.43,283.77,340.03,238.83,276.82,309.13,272.35,311.58,278.3,320.37,284.86,340.05,277.3,299.27,311.1,299.09,255.32,296.24,262.66,305.21,277.49,298.59,346.39,282.77,293.4,323.18,285.45,274.24,349.7,299.89,289.07,343.31,335.68,264.52,268.58,272.58,328.74,270.53,254.64,234.79,236.58,316.4,235.03,228.66,229.44,230.43,253.33,221.95,251.6,239,278.72,256.47,237.03,250.08,294.02,212.54,287.56,251.13,269.25,307.05,211.37,277.08
MNP,Northern Mariana Islands (U.S.),1747.31,1431.13,1505.78,1823.81,1868.61,1613.11,1528.96,1281.63,1617.52,1557.27,1960.43,2102.34,2086.46,2199.17,1755.77,1410.61,1249.69,1914.66,1888.39,1302.89,1321.45,1589.68,1499.52,1230.76,1954.88,1692.7,1862.25,1387.01,2073.99,1516.94,2030.5,2088.1,1563.76,1080.45,1676.93,1856.15,2025.57,1235.77,1676.59,2037.35,2095.5,1917.96,1583.63,1391.72,1858.52,1438.75,2054.94,1862.78,1089.33,1748.26,1730.17,1676.12,1729.45,1982.36,2311.18,1788.16,1710.61,1939.93,1587.21,2098.09,1489.6,2118.61,2023.83,1770.71,2117.1,1896.91,1788.44,1831.19,2300.88,2119.77,1531.51,1891.48,1999.3,2058.64
MOZ,Mozambique,1005.26,633.21,973.54,1216.46,724.5,1067.92,1035.86,1156.78,1090.62,912.89,771.59,962.18,990.66,942.69,723.67,799.1,736.29,865.12,821.51,871.69,761.44,844.8,951.49,873.57,1106.2,797.6,976.86,967.06,1207.6,811.14,880.59,905.44,924.54,785.54,970.71,1020.39,982.13,745.33,869.79,1102.59,741.32,905.13,646.99,853.44,747.06,789.89,953.32,1127.76,874.87,1017.17,1201.35,1017.25,763.2,923.24,940.45,661.48,889.3,1034.55,835.93,802.86,870.19,813.26,835.35,892.42,938.68,849.7,763.16,1001.83,863.18,1020.41,792.07,828.99,1018.98,1079.76
MRT,Mauritania,85.79,195.09,101.78,81.12,129.6,84.32,119.22,140.34,86.98,55.23,67.49,62.57,78.62,80.37,75.2,110.93,92.23,110.81,78.92,149.08,73.39,63.8,70.78,50.63,66.92,65.48,78.22,48.46,69.67,93.26,73.9,77.67,40.87,31.14,59.44,57.49,74.48,45.63,97.84,87.97,55.15,61.4,44.62,69.43,107.18,100.03,59.38,70.52,74.84,91.82,75.83,48.48,42.14,114.54,50.19,78.62,61.22,52.65,61.33,56.22,96.76,47.61,79.71,66.99,47.52,82.17,64.12,41.81,56.77,65.26,62.44,33.51,80.55,36.6
MSR,Montserrat (U.K.),906.42,886.05,717.5,659.96,789.93,826.35,752.2,731.77,924.62,629.84,868.26,1054.72,782.27,872.25,779.05,719.92,768.77,694.36,587.88,688.09,841.57,576.33,770.55,818.99,1016.94,729.55,720.24,801.1,747.95,1156.58,628.78,935.29,871.11,771.77,800.44,798.65,765.88,1149.78,845.94,829.98,859.53,660.4,719.99,749.05,589.66,958.98,991.12,688.42,1098.35,1035.71,671.62,657.99,654.21,845.93,1281.7,1164.17,993.4,839.3,961.83,814.83,1205.07,1387.7,1024.07,943.33,834.24,646.86,943.4,1064.07,717.78,655.79,862.44,593.12,874.15,957.46
MTQ,MTQ,1206.78,1343.26,1005.42,955.28,1077.26,1080.89,1043.25,1020.14,1221.74,911.41,1092.65,1340.77,1260,1208.5,1169.21,886.14,1091.02,911.61,804.8,907.09,921.17,720.36,938.91,967,1026.19,1009.79,962.1,1075.52,975.89,1160.32,1048.87,1146,1086.57,993.61,1142.49,1053.97,896.99,1178.53,1233.06,922.34,981.34,908.83,1036.68,985.53,849.77,1060.48,1134.06,871.97,1108.2,996.54,971.5,846.88,881.54,1043.57,1291.37,1464.71,1131.32,1093.54,1129.6,860.53,1338.11,1510.55,1141.56,1146.36,858.95,780.5,1239.34,1130.98,996.22,1015.71,1042.35,828.12,1061.76,1014.63
MUS,Mauritius,1001.25,1250.22,1258.55,1467.08,1098.05,979.73,1236.8,1004.99,1202.35,1435.31,1159.02,1279.37,1221.66,946.82,1286.32,1259.44,958.25,1260.64,1089.7,1179.24,1378,1036.51,1599.63,1117.25,1108.31,1031.1,1005.57,1133.39,810.7,1121.21,1346.84,1224.74,1371.38,1054.61,750.72,1164.81,1156.94,1593.98,954.93,1183.99,869.27,905.78,921.33,920.81,772.85,1516.99,942.58,888.71,876.86,559.94,925.28,870.28,1015.86,973.7,1072.39,1143.08,1067.11,1044.41,1182.56,1141.94,858.42,858.22,862.22,965.24,1102.33,1311.39,895.59,1139.43,1429.94,1034.09,1127,891.43,1004.65,1287.22
MWI,Malawi,1563.59,1083.99,1437.16,1930.03,980.1,1710.67,1561.01,2179.62,1594.28,1591.96,1240.33,1738.86,1468.62,1604.17,1155.72,1282.04,1231.14,1352.06,1306.11,1254.77,1332.32,1374.03,1467.27,1255.89,1669.4,1214.89,1413.83,1465.89,1883.81,1446.17,1441.73,1262.09,1576.59,1278.49,1475.19,1511.31,1664.25,1137.71,1334.64,1793.98,1128.43,1398.14,1024.02,1257.38,1163.99,1179.62,1334.92,1624.85,1169.9,1345.94,1538.56,1340.07,1380.67,1373.29,1457.29,996,1458.26,1498.38,1349.9,1361.05,1320.45,1281.75,1382.67,1357.83,1354.06,1258.67,1218.64,1505.64,1458.33,1612.3,1342.73,1282.48,1650.93,1602.85
MYS,Malaysia,2492.76,2100.59,2435.61,2398.05,3109.59,3089.39,3160.37,2695.57,2744.53,2651.18,2642.58,2372.25,2869.83,2651.76,2725.14,2602,3310.89,2768.96,2691.22,2917.39,2989.63,2796.49,2501.67,2880.51,2628.78,2730.93,2563.41,2688.57,2561.33,2690.36,2702.74,2558.33,2398.03,2579.54,3249.84,2785.18,2808.44,2821.67,3187.82,2782.06,2525.23,2904.36,2515.19,2881.07,2819.13,3191.95,3094.67,2528.24,2794.17,3124.47,2966.37,2995.27,2333.73,2603.03,2372.91,2486.9,2957,3285.82,3519.15,2933.8,3122.05,3138.3,3183.48,3105.57,2856.26,2693.93,2744.69,3261.51,2914.24,2526.31,3151.07,3163.03,3443.68,3167.54
MYT,MYT,1008.47,835.43,726.39,1643.62,977.77,888.06,866.3,1078.77,1019.66,1110.57,950.46,1152.89,1002.23,828.25,754.98,1012.11,590.25,898.52,1170.69,1003.11,1036.06,1733.82,1358.12,1459.9,975.39,956.98,1351.79,850.85,1062.86,894.2,1372.56,1199.36,1212.94,1486.72,1126.94,1099.17,981.85,703.16,1082,1244.53,978.59,1437.71,802.44,1002.99,1240.12,879.78,1022.64,781.39,945.41,838.7,768.44,926.64,1131.97,1120.64,1218.11,894.28,1099.92,808.35,1270.95,826.43,775.49,982.02,1093.89,918.65,1323.58,1046.62,1121.95,1087.22,997.77,1013.72,782.71,703.92,910.3,684.21
NAM,Namibia,634.26,602.44,333.54,381.08,78.49,370.63,149.23,430.24,320.62,174.89,268.4,270.01,244.19,510.96,198.95,248.41,322.21,453.5,244.58,315.16,269.41,335.51,336.99,265.84,493.5,254.04,429.78,354.8,309,323.55,266.69,190.52,287.64,256.39,257.45,322.96,376.31,289.59,392.03,301.98,352.56,427.25,179.6,360.94,282.1,237.56,259.77,405.41,248.7,357.06,348.82,390.03,310.36,270.59,387.23,330.78,574.41,188.38,434.58,420.62,416.01,642.62,401.36,233.9,369,230.82,242.39,415.66,283.86,185.29,358.45,438.26,315.05,192.19
NCL,New Caledonia (Fr.),1873.64,1592.71,1010.37,766.45,1318.36,1398.11,1593.81,1096.27,1108.79,1489.54,988.04,1708.04,2132.03,1110.65,1340.82,1488.6,1159.96,2279.94,1065.8,1533.44,1365.52,1553.85,1608.48,993.95,1594.95,1937.01,1904.13,1123.81,1124.02,1284.59,1191.16,1379.38,1261.6,1038.63,1500.87,1631.45,1309.6,803.98,1878.84,2238.68,1579.71,1079.81,1196.2,737.3,958.95,995.56,1659.31,1100.62,1472.2,2105.57,1401.87,1334.83,1327.51,1191.44,1204.66,1402.94,1230.9,1281.6,1690.1,1694.85,1177.43,2092.52,1716.94,1711.91,1271.12,1304.5,1246.52,1203.58,1577.75,956.97,1379.49,2113.59,2440.18,1331.94
NER,Niger,198.69,130.83,176.25,176.8,207.59,82.51,262.85,173.68,179.38,111.79,58.93,105.83,173.3,138.7,126.01,107.89,88.34,205.1,123.68,143.29,91.02,106.54,77.59,77.08,105.44,110.86,104.67,124.32,143.68,89.32,104.9,84.17,70.94,55.96,44.59,82.91,77.31,65.47,125.16,84.83,62.18,102.05,84.41,56.83,113.43,80.21,49.02,73.58,123.73,146.59,65.46,69.99,77.12,86.44,51.71,83.04,67.4,83.47,67.57,59.18,114.3,64.45,98.24,76.03,88.55,95.47,100.49,101.87,103.63,122.73,96.55,54.55,75.96,54.83
NFK,Norfolk Island (Aus.),1057.21,1046.19,971.14,834.8,967.79,1196.21,969.63,878.81,1094.51,1117.95,1082.9,885.4,896.34,1028.26,1039.18,779.55,1156.85,1388.73,963.28,945.08,1143.62,1308.26,772.32,785.66,1263.51,1196.35,905.41,649.06,1296.5,832.33,1128.99,1251.45,856.07,1206.34,1270.48,1422.65,1175.83,808.46,1086.02,1357.09,739.17,663.71,941.65,697.71,728.94,985.3,1007.46,840.47,1287.54,1228.93,769.07,1040.25,1302.56,852.05,863.36,819.01,791.05,914.89,1197.66,773.78,735.15,1256.26,1196.14,788.22,822.79,847.35,960.64,1041.27,926.83,572.77,816.94,1006.59,1755.6,943.11
NGA,Nigeria,1060.28,1220.57,1140.11,1090.55,1031.32,1133.5,1191.52,1279.46,934.72,899.87,988.72,929.6,1059.18,997.49,770.75,884.25,909.58,1171.45,1220.53,1236.64,1101.69,1160.95,1081.25,1096.79,1165.77,1171.69,1144.1,989.71,1196.5,1224.33,1319.71,1128.73,1073.85,866.06,1037.82,1188.69,1091.1,1060.67,1292.39,1087.29,1048.21,1181.01,1105.24,1040.79,1292.5,1168.81,1101.24,1078.7,1097.34,1241.89,1033.15,998.16,1051.55,1007.59,999.91,988.48,1008.7,1040.05,1087.07,1037.43,1127.56,985.73,1193.53,1053.83,1176.6,1030.93,1178.99,1052.2,1081.44,1264.21,1001.08,888.86,993.73,976.94
NIC,Nicaragua,1995.88,1680.78,1921.88,1761.27,1916.16,1791.22,1891.47,1777.5,1945.36,1379.15,1812.67,1582.05,1731.56,1733.11,1557.83,1593.66,1863.91,1606.9,1889.25,2013.52,2050.7,1806.7,1764.66,1795.62,1708.87,1906.79,1653.28,1497.33,1799.94,1858.98,1826.29,1930.93,1883.56,1531.16,1611.17,1631.99,1779.03,1483.26,1888.85,1588.34,1746.58,1491.46,1424.83,2020.59,1468.2,1828.76,1849.32,1564.1,1860.12,1821.65,1499.24,1509.24,1653.37,1632.72,1698.2,1973.87,1678.95,1836.65,1938.88,1710.99,2120.23,1849.28,1636.78,1851.04,1758.12,1673.84,1941.12,2098.02,1776.23,1632.61,2262.43,1585.49,2284.95,1731.79
